Timestamp, Latitude, Northing, Longitude, Easting, Northing2, Zone
1487795211209709, 42.3387683333, 4689505.91223, -71.0900333333, 327825.914836, 4689505.91223, 19
1487795212225364, 42.3387666667, 4689505.72716, -71.0900333333, 327825.910287, 4689505.72716, 19
1487795213225288, 42.3387666667, 4689505.72716, -71.0900333333, 327825.910287, 4689505.72716, 19
1487795214225146, 42.3387666667, 4689505.72716, -71.0900333333, 327825.910287, 4689505.72716, 19
1487795215226846, 42.3387666667, 4689505.72716, -71.0900333333, 327825.910287, 4689505.72716, 19
1487795216209391, 42.338765, 4689505.54209, -71.0900333333, 327825.905738, 4689505.54209, 19
1487795217209255, 42.338765, 4689505.54209, -71.0900333333, 327825.905738, 4689505.54209, 19
1487795218209144, 42.338765, 4689505.54209, -71.0900333333, 327825.905738, 4689505.54209, 19
1487795219226835, 42.3387633333, 4689505.35702, -71.0900333333, 327825.901189, 4689505.35702, 19
1487795220225808, 42.3387633333, 4689505.35702, -71.0900333333, 327825.901189, 4689505.35702, 19
1487795221213837, 42.3387633333, 4689505.35702, -71.0900333333, 327825.901189, 4689505.35702, 19
1487795222208586, 42.3387633333, 4689505.35702, -71.0900333333, 327825.901189, 4689505.35702, 19
1487795223209342, 42.3387616667, 4689505.17195, -71.0900333333, 327825.896641, 4689505.17195, 19
1487795224209787, 42.3387616667, 4689505.17195, -71.0900333333, 327825.896641, 4689505.17195, 19
1487795225208604, 42.3387616667, 4689505.17195, -71.0900333333, 327825.896641, 4689505.17195, 19
1487795226208380, 42.33876, 4689504.98688, -71.0900333333, 327825.892092, 4689504.98688, 19
1487795227209777, 42.33876, 4689504.98688, -71.0900333333, 327825.892092, 4689504.98688, 19
1487795228208829, 42.33876, 4689504.98688, -71.0900333333, 327825.892092, 4689504.98688, 19
1487795229208493, 42.33876, 4689504.98688, -71.0900333333, 327825.892092, 4689504.98688, 19
1487795230208767, 42.3387583333, 4689504.80181, -71.0900333333, 327825.887543, 4689504.80181, 19
1487795231208626, 42.3387583333, 4689504.80181, -71.0900333333, 327825.887543, 4689504.80181, 19
1487795232208621, 42.3387583333, 4689504.80181, -71.0900333333, 327825.887543, 4689504.80181, 19
1487795233239074, 42.3387566667, 4689504.61674, -71.0900333333, 327825.882994, 4689504.61674, 19
1487795234208740, 42.3387566667, 4689504.61674, -71.0900333333, 327825.882994, 4689504.61674, 19
1487795235208801, 42.3387566667, 4689504.61674, -71.0900333333, 327825.882994, 4689504.61674, 19
1487795236209265, 42.3387566667, 4689504.61674, -71.0900333333, 327825.882994, 4689504.61674, 19
1487795237208346, 42.338755, 4689504.43166, -71.0900333333, 327825.878445, 4689504.43166, 19
1487795238208487, 42.338755, 4689504.43166, -71.0900333333, 327825.878445, 4689504.43166, 19
1487795239209721, 42.338755, 4689504.43166, -71.0900333333, 327825.878445, 4689504.43166, 19
1487795240208622, 42.3387533333, 4689504.24659, -71.0900333333, 327825.873896, 4689504.24659, 19
1487795241208953, 42.3387533333, 4689504.24659, -71.0900333333, 327825.873896, 4689504.24659, 19
1487795242209082, 42.3387533333, 4689504.24659, -71.0900333333, 327825.873896, 4689504.24659, 19
1487795243208315, 42.3387533333, 4689504.24659, -71.0900333333, 327825.873896, 4689504.24659, 19
1487795244209396, 42.3387516667, 4689504.06152, -71.0900333333, 327825.869347, 4689504.06152, 19
1487795245209540, 42.3387516667, 4689504.06152, -71.0900333333, 327825.869347, 4689504.06152, 19
1487795246209089, 42.3387516667, 4689504.06152, -71.0900333333, 327825.869347, 4689504.06152, 19
1487795247208881, 42.33875, 4689503.87645, -71.0900333333, 327825.864798, 4689503.87645, 19
1487795248209305, 42.33875, 4689503.87645, -71.0900333333, 327825.864798, 4689503.87645, 19
1487795249208626, 42.33875, 4689503.87645, -71.0900333333, 327825.864798, 4689503.87645, 19
1487795250208995, 42.33875, 4689503.87645, -71.0900333333, 327825.864798, 4689503.87645, 19
1487795251210368, 42.3387483333, 4689503.69138, -71.0900333333, 327825.860249, 4689503.69138, 19
1487795252208706, 42.3387483333, 4689503.69138, -71.0900333333, 327825.860249, 4689503.69138, 19
1487795253208564, 42.3387483333, 4689503.69138, -71.0900333333, 327825.860249, 4689503.69138, 19
1487795254210147, 42.3387466667, 4689503.50631, -71.0900333333, 327825.8557, 4689503.50631, 19
1487795255210337, 42.3387466667, 4689503.50631, -71.0900333333, 327825.8557, 4689503.50631, 19
1487795256210153, 42.3387466667, 4689503.50631, -71.0900333333, 327825.8557, 4689503.50631, 19
1487795257210879, 42.3387466667, 4689503.50631, -71.0900333333, 327825.8557, 4689503.50631, 19
1487795258210146, 42.3387466667, 4689503.50631, -71.0900333333, 327825.8557, 4689503.50631, 19
1487795259211032, 42.3387466667, 4689503.50631, -71.0900333333, 327825.8557, 4689503.50631, 19
1487795260210554, 42.338745, 4689503.32124, -71.0900333333, 327825.851151, 4689503.32124, 19
1487795261210098, 42.338745, 4689503.32124, -71.0900333333, 327825.851151, 4689503.32124, 19
1487795262226372, 42.338745, 4689503.32124, -71.0900333333, 327825.851151, 4689503.32124, 19
1487795263256615, 42.338745, 4689503.32124, -71.0900333333, 327825.851151, 4689503.32124, 19
1487795264226486, 42.338745, 4689503.32124, -71.0900333333, 327825.851151, 4689503.32124, 19
1487795265226671, 42.338745, 4689503.32124, -71.0900333333, 327825.851151, 4689503.32124, 19
1487795266210127, 42.338745, 4689503.32124, -71.0900333333, 327825.851151, 4689503.32124, 19
1487795267210945, 42.338745, 4689503.32124, -71.0900333333, 327825.851151, 4689503.32124, 19
1487795268210563, 42.338745, 4689503.32124, -71.0900333333, 327825.851151, 4689503.32124, 19
1487795269211351, 42.338745, 4689503.32124, -71.0900333333, 327825.851151, 4689503.32124, 19
1487795270226699, 42.3387433333, 4689503.13617, -71.0900333333, 327825.846602, 4689503.13617, 19
1487795271226876, 42.3387433333, 4689503.13617, -71.0900333333, 327825.846602, 4689503.13617, 19
1487795272210723, 42.3387433333, 4689503.13617, -71.0900333333, 327825.846602, 4689503.13617, 19
1487795273209686, 42.3387433333, 4689503.13617, -71.0900333333, 327825.846602, 4689503.13617, 19
1487795274210050, 42.3387416667, 4689502.9511, -71.0900333333, 327825.842054, 4689502.9511, 19
1487795275211049, 42.3387416667, 4689502.9511, -71.0900333333, 327825.842054, 4689502.9511, 19
1487795276210101, 42.3387416667, 4689502.9511, -71.0900333333, 327825.842054, 4689502.9511, 19
1487795277209946, 42.3387416667, 4689502.9511, -71.0900333333, 327825.842054, 4689502.9511, 19
1487795278210676, 42.3387416667, 4689502.9511, -71.0900333333, 327825.842054, 4689502.9511, 19
1487795279210193, 42.33874, 4689502.76603, -71.0900333333, 327825.837505, 4689502.76603, 19
1487795280210131, 42.33874, 4689502.76603, -71.0900333333, 327825.837505, 4689502.76603, 19
1487795281210789, 42.33874, 4689502.76603, -71.0900333333, 327825.837505, 4689502.76603, 19
1487795282208346, 42.33874, 4689502.76603, -71.0900333333, 327825.837505, 4689502.76603, 19
