Timestamp, Latitude, Northing, Longitude, Easting, Northing2, Zone
 1487795978208168, 42.3391133333, 4689544.79562, -71.0903166667, 327803.515003, 4689544.79562, 19
 1487795979207815, 42.3391233333, 4689545.90605, -71.0903166667, 327803.542301, 4689545.90605, 19
 1487795980227460, 42.339135, 4689547.20154, -71.0903166667, 327803.574147, 4689547.20154, 19
 1487795981209514, 42.339145, 4689548.34572, -71.0903333333, 327802.228418, 4689548.34572, 19
 1487795982208912, 42.339155, 4689549.4899, -71.09035, 327800.88269, 4689549.4899, 19
 1487795983227737, 42.339165, 4689550.60032, -71.09035, 327800.909988, 4689550.60032, 19
 1487795984208894, 42.339175, 4689551.71075, -71.09035, 327800.937285, 4689551.71075, 19
 1487795985207459, 42.339185, 4689552.82117, -71.09035, 327800.964583, 4689552.82117, 19
 1487795986208035, 42.339195, 4689553.93159, -71.09035, 327800.991881, 4689553.93159, 19
 1487795987207446, 42.339205, 4689555.04202, -71.09035, 327801.019179, 4689555.04202, 19
 1487795988208829, 42.3392183333, 4689556.55634, -71.0903666667, 327799.682551, 4689556.55634, 19
 1487795989209623, 42.3392283333, 4689557.66676, -71.0903666667, 327799.709849, 4689557.66676, 19
 1487795990211451, 42.3392383333, 4689558.77719, -71.0903666667, 327799.737147, 4689558.77719, 19
 1487795991208791, 42.3392466667, 4689559.73629, -71.0903833333, 327798.386872, 4689559.73629, 19
 1487795992206811, 42.339255, 4689560.66165, -71.0903833333, 327798.40962, 4689560.66165, 19
 1487795993210844, 42.3392616667, 4689561.43568, -71.0904, 327797.054795, 4689561.43568, 19
 1487795994211119, 42.33927, 4689562.39479, -71.0904166667, 327795.70452, 4689562.39479, 19
 1487795995213260, 42.33928, 4689563.50522, -71.0904166667, 327795.731819, 4689563.50522, 19
 1487795996211121, 42.3392883333, 4689564.46433, -71.0904333333, 327794.381545, 4689564.46433, 19
 1487795997210995, 42.3392983333, 4689565.57475, -71.0904333333, 327794.408844, 4689565.57475, 19
 1487795998210757, 42.33931, 4689566.83649, -71.0904166667, 327795.813715, 4689566.83649, 19
 1487795999229651, 42.3393183333, 4689567.76184, -71.0904166667, 327795.836464, 4689567.76184, 19
 1487796000211852, 42.3393283333, 4689568.87227, -71.0904166667, 327795.863763, 4689568.87227, 19
 1487796001212080, 42.3393366667, 4689569.83138, -71.0904333333, 327794.51349, 4689569.83138, 19
 1487796002210447, 42.339345, 4689570.75673, -71.0904333333, 327794.536239, 4689570.75673, 19
 1487796003210880, 42.3393533333, 4689571.68208, -71.0904333333, 327794.558988, 4689571.68208, 19
 1487796004210209, 42.33936, 4689572.42237, -71.0904333333, 327794.577188, 4689572.42237, 19
 1487796005214905, 42.3393683333, 4689573.34772, -71.0904333333, 327794.599937, 4689573.34772, 19
 1487796006209428, 42.3393733333, 4689573.90293, -71.0904333333, 327794.613586, 4689573.90293, 19
 1487796007209734, 42.339385, 4689575.19843, -71.0904333333, 327794.645435, 4689575.19843, 19
 1487796008208814, 42.3393983333, 4689576.67899, -71.0904333333, 327794.681834, 4689576.67899, 19
 1487796009207838, 42.33941, 4689577.97449, -71.0904333333, 327794.713683, 4689577.97449, 19
 1487796010208309, 42.3394216667, 4689579.30374, -71.09045, 327793.372511, 4689579.30374, 19
 1487796011206884, 42.3394316667, 4689580.41416, -71.09045, 327793.399811, 4689580.41416, 19
 1487796012208754, 42.33944, 4689581.33951, -71.09045, 327793.42256, 4689581.33951, 19
 1487796013208183, 42.3394483333, 4689582.26487, -71.09045, 327793.445309, 4689582.26487, 19
 1487796014208316, 42.3394583333, 4689583.37529, -71.09045, 327793.472609, 4689583.37529, 19
 1487796015209143, 42.3394666667, 4689584.3344, -71.0904666667, 327792.122339, 4689584.3344, 19
 1487796016226107, 42.339475, 4689585.25975, -71.0904666667, 327792.145088, 4689585.25975, 19
 1487796017208370, 42.339485, 4689586.37018, -71.0904666667, 327792.172388, 4689586.37018, 19
 1487796018226865, 42.339495, 4689587.4806, -71.0904666667, 327792.199687, 4689587.4806, 19
 1487796019208868, 42.3395083333, 4689588.96117, -71.0904666667, 327792.236087, 4689588.96117, 19
 1487796020208700, 42.3395233333, 4689590.62681, -71.0904666667, 327792.277036, 4689590.62681, 19
 1487796021208946, 42.3395383333, 4689592.29244, -71.0904666667, 327792.317985, 4689592.29244, 19
 1487796022226702, 42.3395533333, 4689593.95808, -71.0904666667, 327792.358935, 4689593.95808, 19
 1487796023207832, 42.33957, 4689595.80879, -71.0904666667, 327792.404434, 4689595.80879, 19
 1487796024207747, 42.3395866667, 4689597.65949, -71.0904666667, 327792.449933, 4689597.65949, 19
 1487796025209133, 42.3395966667, 4689598.76992, -71.0904666667, 327792.477233, 4689598.76992, 19
 1487796026208296, 42.3396066667, 4689599.88034, -71.0904666667, 327792.504533, 4689599.88034, 19
 1487796027208979, 42.3396166667, 4689600.99077, -71.0904666667, 327792.531832, 4689600.99077, 19

